,disgust,shame,sadness,anger,fear,joy,guilt,surprise
107,,,dispiritedness,aggressive,shudderi,triumphal,,
108,,,disheartened,vindictiveness,diffidently,eagerness,,
109,,,blue_devil,malef,hardhearted,hilari,,
110,,,mournfulness,vengefulness,monstrously,jolly,,
111,,,remorse,incens,alarmed,jocund,,
112,,,plaintiveness,enfuri,frighten_off,likeable,,
113,,,deplorable,riled,panic-stricken,softhearted,,
114,,,regretful,belliger,ruthless,proud,,
115,,,dreary,hateful,timidity,rush,,
116,,,downcast,frustrating,scare,fond_regard,,
117,,,grievous,vexed,presentiment,warmheart,,
118,,,sorry_for,angered,dread,joyousness,,
119,,,rue,vexat,coldheartedness,exuber,,
120,,,sad,misanthropy,frighten,worry,,
121,,,tear,stung,dreadfully,occupy,,
122,,,bad,bedevil,suspensive,ardour,,
123,,,pitiabl,despit,panic_attack,flush,,
124,,,persecute,aggression,fearful,jubilance,,
125,,,contrition,fit,scary,glee,,
126,,,suffering,abhorr,creep,protect,,
127,,,heartbreak,class_feel,cowed,goodwil,,
128,,,low-spirit,spleen,hesitatingly,mirthfulness,,
129,,,dismay,animosity,shuddery,high_spirits,,
130,,,woebegone,vexation,fearsome,becharm,,
131,,,penanc,hackl,anxiously,satiabl,,
132,,,world-weary,get_at,outrag,satisfactori,,
133,,,ruefulness,irascible,hangdog,enthusiastic,,
134,,,guilt_trip,enviably,terrified,blitheness,,
135,,,saddening,murderousness,grovel,amicableness,,
136,,,self-reproach,begrudge,dreaded,avidity,,
137,,,tearful,misolog,hesitance,jubilate,,
138,,,joylessly,furiously,horridly,devoted,,
139,,,woebegon,umbrage,alarm,suspens,,
140,,,lachrymose,vex,horrible,content,,
141,,,bored,green-eyed,timid,joyfully,,
142,,,desolate,covetousness,self-doubt,feeling_of_ident,,
143,,,forlorn,dudgeon,frighteningly,exhort,,
144,,,mournfully,envi,timor,gloatingly,,
145,,,miserably,displeased,horrified,enthusiast,,
146,,,plaintiv,huffili,horrifi,look_up_to,,
147,,,remorsefully,disdain,hesitancy,urg,,
148,,,weeping,abomin,unassertiveness,enthrallment,,
149,,,penitent,infuriating,panicki,exhilarated,,
150,,,dark,quick_temper,panick,intox,,
151,,,heartrending,avarici,hysterically,comforting,,
152,,,repentantly,detestation,horrific,commend,,
153,,,uncheer,enragement,mercilessness,devotedness,,
154,,,oppressively,execr,awfully,ebullient,,
155,,,low,greedy,apprehens,prideful,,
156,,,tyrannous,mad,daunt,fascin,,
157,,,brokenheartedness,malefic,horrifying,worshipful,,
158,,,get_down,torment,atrocious,fascinate,,
159,,,gloomy,malice,horribl,anticip,,
160,,,attrition,hackles,scarili,loyalti,,
161,,,discourag,hatr,apprehensiveness,gladdened,,
162,,,hapless,resent,horrend,charm,,
163,,,mourning,the_green-eyed_monst,horror-stricken,intimaci,,
164,,,miseri,umbrageous,presag,contented,,
165,,,dingi,irritation,intimidate,buoyancy,,
166,,,dolourous,score,trepidation,be_on_cloud_nine,,
167,,,ruefully,grabby,afraid,titillating,,
168,,,persecuted,pestered,consternation,zealous,,
169,,,glooming,outrage,horror-struck,nigh,,
170,,,oppressiveness,belligerence,cruelti,enamoredness,,
171,,,woefulli,madden,dreadful,charit,,
172,,,downhearted,furious,premonition,enthral,,
173,,,downheartedness,mison,cow,enamor,,
174,,,bereav,exasper,horrifyingly,festive,,
175,,,pitiful,gall,forebod,expansively,,
176,,,sorry,crucify,panicked,fond,,
177,,,grieve,aggrav,shyly,romantic,,
178,,,desol,piqu,timidness,jolli,,
179,,,hangdog,venom,frightful,high_spirit,,
180,,,cheerlessly,execrate,fearfulness,expect,,
181,,,despondency,belligerent,panicky,friendly,,
182,,,mourn,pestering,fawn,gratifying,,
183,,,shame,displeasing,appal,kindheart,,
184,,,execr,grudge,suspens,laudabl,,
185,,,gloomily,nettlesom,boding,eagerly,,
186,,,contrit,tantalize,scare_off,keen,,
187,,,dingy,infuriated,cringe,triumph,,
188,,,depressing,enmiti,creeps,unworri,,
189,,,heartach,irritated,unassertive,friend,,
190,,,pitying,scene,cring,complacence,,
191,,,sorrowfulness,lividity,hysterical,complacent,,
192,,,contrite,green-eyed_monst,shivery,pleas,,
193,,,compunction,enmity,anxious,sunni,,
194,,,sorri,misogamy,frighten_away,hearten,,
195,,,despair,murder,,smug,,
196,,,helpless,vexati,,fellow_feel,,
197,,,shamefac,bothersome,,jolly_along,,
198,,,demoralize,reveng,,fellow_feeling,,
199,,,glum,avaricious,,occupi,,
200,,,grievously,huffish,,elating,,
201,,,joyless,enfuriate,,suspenseful,,
202,,,despondently,pique,,enchantment,,
203,,,penit,antagon,,with_prid,,
204,,,attrit,antagonism,,infatu,,
